Local,Preço
['Ceasa Campinas/SP'],['***']
['Itália-Extra'],"['14,38']"
['Niágara-Extra'],"['11,00']"
['Ceasa Belo Horizonte/MG'],['***']
['Itália'],"['13,75']"
['Niágara'],"['13,00']"
['Ceagesp/SP'],['***']
['Niágara A'],"['9,87']"
['Itália A'],"['12,56']"
