Local,Preço
['Ceasa - Campinas/SP'],['***']
['Redonda Graúda'],"['2,80']"
['Redonda Média'],"['2,40']"
['Redonda Miúda'],"['2,20']"
['Ceasa - Belo Horizonte/MG'],['***']
['Redonda Graúda'],"['2,70']"
['Redonda Média'],"['2,20']"
['Redonda Miúda'],"['1,80']"
['Ceagesp/SP'],['***']
['Redonda Graúda'],"['3,02']"
['Redonda Média'],"['2,43']"
['Redonda Miúda'],"['1,97']"
